ClusterID,celltype,
0,Hepatocytes,Hepatocytes_1
1,Hepatocytes,Hepatocytes_2
2,Endothelial_cells,Endothelial
3,Hepatocytes,Hepatocytes_1
4,Hepatocytes,Hepatocytes_2
5,Macrophage/Kuppfer,Kupffer
6,Smooth_muscle_cells/stellate,Stellate
7,Hepatocytes,Hepatocytes_2
8,Hepatocytes,Hepatocytes_1
9,Hepatocytes,Cholangiocyte
10,T_cells,T_cell
11,Hepatocytes,Hepatocytes_1
12,Hepatocytes,Hepatocytes_1
13,Hepatocytes,Hepatocytes_1
14,Hepatocytes,Hepatocytes_2
15,Hepatocytes,Hepatocytes_1
16,Smooth_muscle_cells/stellate,Stellate
17,B_cell,Endothelial
18,Endothelial_cells,Endothelial
19,Erythroblast,Hepatocytes_2
