"gene","ID","genehancer_id","TF"
"LINC01554",51024,"GH05F095640","BCL11A"
"LINC01554",51024,"GH05F095640","WT1"
"LINC01554",51024,"GH05F095640","NR4A1"
"LINC01554",51024,"GH05F095640","ESR2"
"LINC01554",51024,"GH05F095640","ESRRG"
"LINC01554",51024,"GH05F095640","RUNX2"
"LINC01554",51024,"GH05F095640","AIRE"
"LINC01554",51024,"GH05F095640","BCL11B"
"LINC01554",51034,"GH05F095757","HMGA2"
"LINC01554",51034,"GH05F095757","HAND2"
"LINC01554",51034,"GH05F095757","HES5"
"LINC01554",51034,"GH05F095757","HNF1B"
"LINC01554",51034,"GH05F095757","POU4F1"
"LINC01554",51034,"GH05F095757","NR1H4"
"LINC01554",51034,"GH05F095757","TCF7L1"
"LINC01554",51034,"GH05F095757","SMAD9"
"SLC7A5",129151,"GH16F029114","BCL11A"
"SLC7A5",129151,"GH16F029114","IRF4"
"SLC7A5",129151,"GH16F029114","RUNX3"
"SLC7A5",129151,"GH16F029114","BCL11B"
"SLC7A5",129151,"GH16F029114","SMAD9"
"SLC7A5",129152,"GH16F029114","TCF4"
"SLC7A5",129152,"GH16F029114","NR4A1"
"SLC7A5",129152,"GH16F029114","ESRRG"
"SLC7A5",129152,"GH16F029114","RUNX1"
"SLC7A5",129152,"GH16F029114","SMAD9"
"CYP2B7P",148182,"GH19F040830","TCF4"
"CYP2B7P",148182,"GH19F040830","RUNX1"
"CYP2B7P",148199,"GH19F040979","BCL11A"
"CYP2B7P",148199,"GH19F040979","IRF4"
"CYP2B7P",148199,"GH19F040979","RARB"
"CYP2B7P",148199,"GH19F040979","LEF1"
"CYP2B7P",148199,"GH19F040979","TCF7L1"
"CYP2B7P",148199,"GH19F040979","BCL11B"
"LBP",39747,"GH04F001718","EBF1"
"LBP",39747,"GH04F001718","MEIS2"
"LBP",39747,"GH04F001718","MEIS1"
"LBP",39747,"GH04F001718","RUNX1"
"LBP",39748,"GH04F001718","EBF1"
"LBP",39748,"GH04F001718","BCL11A"
"LBP",39748,"GH04F001718","BCL11B"
"APP",117744,"GH14F035330","BCL11A"
"APP",117744,"GH14F035330","EGR3"
"APP",117744,"GH14F035330","WT1"
"APP",117744,"GH14F035330","NR1H4"
"APP",117744,"GH14F035330","BCL11B"
"APP",15997,"GH02F003522","EBF1"
"F8",150137,"GH19F056104","NPAS3"
"F8",150137,"GH19F056104","POU4F1"
"F8",150137,"GH19F056104","IRF4"
"F8",150137,"GH19F056104","MEF2C"
"F8",150137,"GH19F056104","SOX4"
"F8",150137,"GH19F056104","LEF1"
"F8",1312,"GH01F012166","HES5"
"F8",1312,"GH01F012166","SOX4"
"F8",145764,"GH19F011136","HAND2"
"F8",145764,"GH19F011136","TCF4"
"F8",145764,"GH19F011136","MEF2C"
"F8",145764,"GH19F011136","RARB"
"F8",145764,"GH19F011136","NR4A1"
"F8",145764,"GH19F011136","ESRRG"
"F8",59043,"GH06F037618","TCF4"
"F8",59043,"GH06F037618","RUNX1"
"KALRN",35259,"GH03F124829","FOXP1"
"KALRN",35259,"GH03F124829","HNF1B"
"KALRN",35259,"GH03F124829","PAX2"
"KALRN",35259,"GH03F124829","RUNX2"
"KALRN",35259,"GH03F124829","RUNX1"
"KALRN",35259,"GH03F124829","SOX4"
"KALRN",35260,"GH03F124829","IKZF1"
"KALRN",35260,"GH03F124829","HNF1B"
"KALRN",35260,"GH03F124829","RORA"
"KALRN",35260,"GH03F124829","RUNX2"
"KALRN",35260,"GH03F124829","RUNX1"
"KALRN",35260,"GH03F124829","SMAD9"
